time,HDS001_010_004,HDS001_004_004
1.000000000000,1010.865866350696,1007.457974353891
2.878892094669,1010.865805030158,1007.457905707031
5.133562608273,1010.865731445173,1007.457823330016
7.839167224597,1010.865643142688,1007.457724476442
11.08589276419,1010.865537178998,1007.457605850521
14.98196341169,1010.865410021549,1007.457463497072
19.65724818870,1010.865257431143,1007.457292669567
25.26758992111,1010.865074320541,1007.457087671746
32.00000000000,1010.864854584774,1007.456841667502
33.69706382744,1010.865864345787,1007.457972368551
35.73354042038,1010.867076015938,1007.459329147629
38.17731233189,1010.868529958115,1007.460957192993
41.10983862572,1010.870274599451,1007.462910718521
44.62887017830,1010.872368040518,1007.465254763536
48.85170804141,1010.874879984745,1007.468067350244
53.91911347713,1010.877894051403,1007.471442069236
60.00000000000,1010.881510547868,1007.475491177059
61.87889209467,1010.883217210512,1007.477401954468
64.13356260827,1010.885265083523,1007.479694712525
66.83916722460,1010.887722355256,1007.482445770401
70.08589276419,1010.890670828127,1007.485746677185
73.98196341169,1010.894208631055,1007.489707242863
78.65724818870,1010.898453469841,1007.494459168785
84.26758992111,1010.903546521082,1007.500160394402
91.00000000000,1010.909657095469,1007.507000298885
92.81828267226,1010.910737434325,1007.508209525707
95.00022187897,1010.912033791718,1007.509660525179
97.61854892703,1010.913589349702,1007.511401619565
100.7605413847,1010.915455917221,1007.513490781135
104.5309323339,1010.917695651298,1007.515997555601
109.0554014729,1010.920383120634,1007.519005367115
114.4847644398,1010.923607779272,1007.522614279605
121.0000000000,1010.927476931196,1007.526944303222
122.8788920947,1010.927415690299,1007.526875637908
125.1335626083,1010.927342200869,1007.526793233400
127.8391672246,1010.927254013042,1007.526694338577
131.0858927642,1010.927148186913,1007.526575650178
134.9819634117,1010.927021194499,1007.526433201164
139.6572481887,1010.926868802073,1007.526262225901
145.2675899211,1010.926685928957,1007.526056996939
152.0000000000,1010.926466493853,1007.525810664789
153.8182826723,1010.926122461036,1007.525425405711
156.0002218790,1010.925709615872,1007.524963075920
158.6185489270,1010.925214193347,1007.524408252290
161.7605413847,1010.924619689739,1007.523742460920
165.5309323339,1010.923906271841,1007.522943459118
170.0554014729,1010.923050150824,1007.521984578365
175.4847644398,1010.922022777458,1007.520833802248
182.0000000000,1010.920789888883,1007.519452688800
183.8788920947,1010.920169455782,1007.518757904605
186.1335626083,1010.919424920767,1007.517924126782
188.8391672246,1010.918531456725,1007.516923539672
192.0858927642,1010.917459268156,1007.515722756505
195.9819634117,1010.916172596194,1007.514281701290
200.6572481887,1010.914628524054,1007.512552265126
206.2675899211,1010.912775542735,1007.510476690813
213.0000000000,1010.910551828685,1007.507985629916
214.8788920947,1010.909931196629,1007.507290347673
217.1335626083,1010.909186431316,1007.506455990994
219.8391672246,1010.908292690895,1007.505454701277
223.0858927642,1010.907220170638,1007.504253063677
226.9819634117,1010.905933100603,1007.502810967218
231.6572481887,1010.904388550706,1007.501080259311
237.2675899211,1010.902534995980,1007.499003128174
244.0000000000,1010.900310593698,1007.496510157308
245.8182826723,1010.899709796515,1007.495836785815
248.0002218790,1010.898988833479,1007.495028719160
250.6185489270,1010.898123657167,1007.494058975507
253.7605413847,1010.897085415825,1007.492895190734
257.5309323339,1010.895839483346,1007.491498514809
262.0554014729,1010.894344302631,1007.489822308598
267.4847644398,1010.892549996852,1007.487810577297
274.0000000000,1010.890396701843,1007.485396086622
275.8788920947,1010.889775691576,1007.484699707687
278.1335626083,1010.889030472395,1007.483864027963
280.8391672246,1010.888136187284,1007.482861140335
284.0858927642,1010.887063013334,1007.481657571145
287.9819634117,1010.885775158770,1007.480213137673
292.6572481887,1010.884229667299,1007.478479599953
298.2675899211,1010.882374982483,1007.476399040205
305.0000000000,1010.880149223802,1007.473901914336
306.8182826723,1010.879548060221,1007.473227417491
309.0002218790,1010.878826647947,1007.472417968797
311.6185489270,1010.877960943954,1007.471446595172
314.7605413847,1010.876922069332,1007.470280847696
318.5309323339,1010.875675376825,1007.468881808027
323.0554014729,1010.874179283945,1007.467202755165
328.4847644398,1010.872383883376,1007.465187596877
335.0000000000,1010.870229274347,1007.462768984242
336.8788920947,1010.869873185565,1007.462368482504
339.1335626083,1010.869445872808,1007.461887840784
341.8391672246,1010.868933088544,1007.461311013830
345.0858927642,1010.868317734527,1007.460618739912
348.9819634117,1010.867579291127,1007.459787894433
353.6572481887,1010.866693166612,1007.458790802536
359.2675899211,1010.865629786909,1007.457594076379
366.0000000000,1010.864353687644,1007.456157699314
367.8788920947,1010.864292371270,1007.403968885010
370.1335626083,1010.864218791544,1007.342279418872
372.8391672246,1010.864130495762,1007.269571527013
376.0858927642,1010.864024540662,1007.184171779233
379.9819634117,1010.863897394308,1007.084271712096
384.6572481887,1010.863744818341,1006.967967098811
390.2675899211,1010.863561726680,1006.833321333583
397.0000000000,1010.863342015935,1006.678458060985
398.6970638274,1010.864351829787,1006.640986488270
400.7335404204,1010.865563563303,1006.596624973927
403.1773123319,1010.867017581456,1006.544244208263
406.1098386257,1010.868762313871,1006.482586663611
409.6288701783,1010.870855864079,1006.410276127222
413.8517080414,1010.873367939042,1006.325839718573
418.9191134771,1010.876382162200,1006.227746703019
425.0000000000,1010.879998845798,1006.114468653434
426.8788920947,1010.881705594151,1006.080526212926
429.1335626083,1010.883753569903,1006.040390208032
431.8391672246,1010.886210964755,1005.993065319200
435.0858927642,1010.889159585100,1005.937451795660
438.9819634117,1010.892697564522,1005.872358050108
443.6572481887,1010.896942614338,1005.796525448782
449.2675899211,1010.902035917482,1005.708669139581
456.0000000000,1010.908146791721,1005.607538777505
457.8182826723,1010.909227184425,1005.579811670631
460.0002218790,1010.910523606162,1005.546976840561
462.6185489270,1010.912079240930,1005.508192573188
465.7605413847,1010.913945899903,1005.462519260377
469.5309323339,1010.916185742593,1005.408925112360
474.0554014729,1010.918873340399,1005.346300577647
479.4847644398,1010.922098150014,1005.273484503512
486.0000000000,1010.925967477521,1005.189305238719
487.8788920947,1010.925906232371,1005.163826589091
490.1335626083,1010.925832737393,1005.133621414684
492.8391672246,1010.925744542187,1005.097896063438
496.0858927642,1010.925638706012,1005.055757545065
499.9819634117,1010.925511699542,1005.006214980467
504.6572481887,1010.925359286833,1004.948187720669
510.2675899211,1010.925176383429,1004.880522568597
517.0000000000,1010.924956885607,1004.802022666132
518.8182826723,1010.924612826543,1004.780638579055
521.0002218790,1010.924199949604,1004.755253131109
523.6185489270,1010.923704488420,1004.725179708238
526.7605413847,1010.923109922006,1004.689639240422
530.5309323339,1010.922396423167,1004.647758056921
535.0554014729,1010.921540196194,1004.598570371056
540.4847644398,1010.920512681493,1004.541027313829
547.0000000000,1010.919279600088,1004.474014630657
548.8788920947,1010.918659096835,1004.454505376648
551.1335626083,1010.917914474633,1004.431331455847
553.8391672246,1010.917020901420,1004.403857824261
557.0858927642,1010.915948574907,1004.371361090509
560.9819634117,1010.914661726717,1004.333025948500
565.6572481887,1010.913117426408,1004.287945274862
571.2675899211,1010.911264144881,1004.235125497855
578.0000000000,1010.909040028173,1004.173499014972
579.8788920947,1010.908419287384,1004.156419318408
582.1335626083,1010.907674378058,1004.136115849599
584.8391672246,1010.906780457216,1004.112023367638
588.0858927642,1010.905707708962,1004.083495128785
591.9819634117,1010.904420347813,1004.049798190085
596.6572481887,1010.902875421602,1004.010111443814
602.2675899211,1010.901021373278,1003.963527710709
609.0000000000,1010.898796312374,1003.909061398797
610.8182826723,1010.898195338956,1003.894442134476
613.0002218790,1010.897474149166,1003.877046146088
615.6185489270,1010.896608689823,1003.856379239497
618.7605413847,1010.895570092479,1003.831872830459
622.5309323339,1010.894323708097,1003.802878188593
627.0554014729,1010.892827947519,1003.768662504156
632.4847644398,1010.891032888166,1003.728407832741
639.0000000000,1010.888878599186,1003.681214173699
640.8788920947,1010.888257301704,1003.667685737815
643.1335626083,1010.887511718135,1003.651581652172
645.8391672246,1010.886616979070,1003.632440864501
649.0858927642,1010.885543235480,1003.609731755425
652.9819634117,1010.884254659975,1003.582846117003
657.6572481887,1010.882708246850,1003.551094577845
663.2675899211,1010.880852369812,1003.513704389486
670.0000000000,1010.878625047605,1003.469820672610
671.8182826723,1010.878023458481,1003.458031307487
674.0002218790,1010.877301522641,1003.443985231503
676.6185489270,1010.876435157501,1003.427273351032
679.7605413847,1010.875395457729,1003.407421786555
683.5309323339,1010.874147727655,1003.383885368257
688.0554014729,1010.872650318577,1003.356042001980
693.4847644398,1010.870853231039,1003.323188631804
700.0000000000,1010.868696433697,1003.284539704161
701.8788920947,1010.868339718253,1003.273799233848
704.1335626083,1010.867911634508,1003.261001939278
706.8391672246,1010.867397897039,1003.245774600302
710.0858927642,1010.866781357655,1003.227684750986
713.9819634117,1010.866041429962,1003.206234678452
718.6572481887,1010.865153397275,1003.180856199946
724.2675899211,1010.864087579608,1003.150906884972
731.0000000000,1010.862808330075,1003.115668561369
